date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:36	41413/41413	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2013:38:26%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/index.html	(from )
23:14:36	20/20	---MCZ	200	added ('OK')	text/plain	date:Sat,%2023%20Nov%202024%2004:48:29%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/robots.txt		(from )
23:14:37	110407/110407	---M-Z	200	added ('OK')	text/css	etag:%22fcc380ed20c1ba437c5e89108e319b25%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/css/myfolio-portfolio-webflow-template.webflow.b43a960bb.css	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/css/myfolio-portfolio-webflow-template.webflow.b43a960bb.css	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:37	476/476	---M--	200	added ('OK')	image/png	etag:%22f94d9b4bb300aaea0bc8d33f68f47ec3%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/625985b4587eee2cab065671_Superflow_Logo32px.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/625985b4587eee2cab065671_Superflow_Logo32px.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:37	2106/2106	---M--	200	added ('OK')	image/png	etag:%22a5912643e0f2076b27725f54e6797f53%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/625985b853b8851d98598edd_Superflow_logo%20256px.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/625985b853b8851d98598edd_Superflow_logo%20256px.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:38	42199/42199	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2005:24:28%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/projects	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/projects.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:39	22891/22891	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2015:34:49%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/contact-us	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/contact-us.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:39	424856/424856	---M--	200	added ('OK')	image/png	etag:%2212b034e14a3bb05f899a23e3c4cdbfa1%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f11c12ccb99e089078fc33_Main%20Image%20BG.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f11c12ccb99e089078fc33_Main%20Image%20BG.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:39	173434/173434	---M--	200	added ('OK')	image/png	etag:%22b7ccce66d2096877e7d94693384268a7%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f1181cd102a28fb5ffae6c_Hero%20Image.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f1181cd102a28fb5ffae6c_Hero%20Image.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:39	13521/13521	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2012:56:00%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/project/masterbase-webdesign	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/project/masterbase-webdesign.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
